Unnamed: 0,Median Income,Age of House,Average Rooms,Average Bedrooms,Population,Average Occupancy,Latitude,Longitude,Price,Postal_Code,Extra_Noise,Random,Average_NotBedrooms
5,4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,2.697,90860,0.6810395960445219,59.4956620558265,3.6580310880829017
6,3.6591,52.0,4.9319066147859925,0.95136186770428,1094.0,2.1284046692607004,37.84,-122.25,2.992,95390,0.8261098366938703,2.062180074288833,3.9805447470817126
7,3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,2.414,95226,-1.001621865490398,39.85473993843334,3.735703245749614
8,2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267,95191,0.08695970203716943,76.41052405716057,3.176470588235294
9,3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,2.611,93772,-0.5322617261715757,39.950859328716646,3.980392156862745
10,3.2031,52.0,5.477611940298507,1.079601990049751,910.0,2.263681592039801,37.85,-122.26,2.815,93092,0.7041298480492758,83.55962398014242,4.398009950248756
11,3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,2.418,95734,0.796965795509925,97.61552901252816,3.7479564032697548
12,3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,2.135,96265,1.6332295165199409,60.72126026993657,4.30982905982906
13,2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,1.913,90466,-2.158341916889131,14.50040763417566,2.902298850574713
14,1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.95483870967742,37.85,-122.26,1.592,95334,-0.63057816231632,37.96772079054107,3.2532258064516126
15,2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,1.4,94426,1.3002489442520417,0.9483355068375166,3.170454545454545
16,2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,1.525,95578,-1.4015298469325184,60.27259238407526,4.8912386706948645
17,2.1202,52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27,1.555,96231,0.8056510328936717,82.15685009737982,3.0858085808580853
18,1.9911,50.0,5.343675417661098,1.0859188544152745,990.0,2.362768496420048,37.84,-122.26,1.587,93444,1.1340005008147496,62.994007892304296,4.257756563245824
19,2.6033,52.0,5.465454545454546,1.0836363636363635,690.0,2.5090909090909093,37.84,-122.27,1.629,93171,-0.0283398453664603,78.60862291834498,4.381818181818183
20,1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,1.475,92919,-1.4214646871565255,79.99039272758867,3.41566265060241
21,1.7135,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,1.598,90130,-0.12151967820023801,85.10125762174637,3.475409836065574
22,1.725,52.0,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27,1.139,91685,1.4586813374587233,26.666378299755422,3.9644351464435146
23,2.1806,52.0,5.193846153846154,1.0369230769230768,853.0,2.624615384615385,37.84,-122.27,0.997,90769,1.539017375255416,87.1268522820422,4.156923076923078
